nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
PARC DE BERCY (MAISON DU LAC),1 COUR CHAMONARD,75012,PW0058-1,1,Opérationnel,48.83507864071959,2.384532226240482
BIBLIOTHEQUE SAINT ELOI,23 RUE DU COLONEL ROZANOFF,75012,PW0141,2,Opérationnel,48.84552915718271,2.387110986075708
PARC DE BERCY (TERRASSE BERCY),1 COUR CHAMONARD,75012,PW0058-3,2,Opérationnel,48.836810713488546,2.3823502436999653
COULEE VERTE - BASTILLE,38 AVENUE DAUMESNIL,75012,PW0216,1,Opérationnel,48.847183089015545,2.3764195169455746
PARC FLORAL,ROUTE DE LA PYRAMIDE,75012,PW0200,7,Opérationnel,48.840125544936114,2.439835247184326
COULEE VERTE - DAUMESNIL RAMBOUILLET,AVENUE DAUMESNIL - COIN RUE RAMBOUILLET,75012,PW0217,1,Opérationnel,48.84467620670816,2.3816157676057963
GYMNASE BERCY BASTILLE,242 RUE DE BERCY,75012,PW0252,2,Opérationnel,48.847172442528134,2.369130681154877
MAIRIE DU 12 EME,130 AVENUE DAUMESNIL,75012,PW0012,2,Opérationnel,48.84110407848002,2.388337487704946
CENTRE SPORTIF LEON MOTTOT,17 CITE MOYNET,75012,PW0086,1,Opérationnel,48.843865692875596,2.386629495395027
BIBLIOTHEQUE DIDEROT,42 AVENUE DAUMESNIL,75012,PW0135,1,Opérationnel,48.8459667165727,2.3777161395607687
PARC DE BERCY (ORANGERIE),1 COUR CHAMONARD,75012,PW0058-2,2,Opérationnel,48.83609176602629,2.383252259533802
CENTRE SPORTIF LEO LAGRANGE,68 BOULEVARD PONIATOWSKI,75012,PW0084,1,Opérationnel,48.83216486752819,2.3993343359356065
PISCINE JEAN BOITEUX,13 RUE ANTOINE JULIEN HENARD,75012,PW0106,1,Opérationnel,48.84214721269366,2.3893977890114995
PARC DE BERCY (JARDINAGE),1 COURS SAIT EMILION,75012,PW0058,1,Opérationnel,48.83241898581483,2.385483176701274
CENTRE SPORTIF PAUL VALERY,15 RUE DE LA NOUVELLE CALEDONIE,75012,PW0087,1,Opérationnel,48.838002529065406,2.410429161569747
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 12,181 AVENUE DAUMESNIL,75012,PW0030,6,Opérationnel,48.84048781257587,2.3925067765318033
GYMNASE REUILLY,11 RUE ANTOINE JULIEN HENARD,75012,PW0099,1,Opérationnel,48.84170547884535,2.3891714419219685
ACTIVITES ARTISANALES ET CREATION DU 12EME,30 RUE DU FAUBOURG SAINT ANTOINE,75012,PW0120,3,Opérationnel,48.85240661248836,2.3716454350642713
BIBLIOTHEQUE HELENE BERR,70 RUE DE PICPUS,75012,PW0051,4,Opérationnel,48.84254112148939,2.3974768896781797
DIR SYSTEMES INFORMATION ET NUMERIQUE,227 RUE DE BERCY,75012,PW0999,4,Opérationnel,48.84647564555833,2.3697055470915753
